,error_rate,accuracy,homogeneity,completeness,triplicate,umi_length
0,0.2,0.8,0.916647228,0.682918749,1,20
1,0.18,0.82,0.977876796,0.705879831,1,20
2,0.16,0.84,0.960302748,0.73069647,1,20
3,0.14,0.86,0.986319879,0.765525904,1,20
4,0.12,0.88,0.975994776,0.802666443,1,20
5,0.1,0.9,0.993068698,0.846079876,1,20
6,0.08,0.92,0.997216422,0.881627063,1,20
7,0.06,0.94,0.992412588,0.944544497,1,20
8,0.04,0.96,0.997916123,0.978890967,1,20
9,0.2,0.8,0.944159059,0.684110493,2,20
10,0.18,0.82,0.951680369,0.702685155,2,20
11,0.16,0.84,0.941073788,0.73814094,2,20
12,0.14,0.86,0.970165807,0.767187773,2,20
13,0.12,0.88,0.989604837,0.800882462,2,20
14,0.1,0.9,0.995671458,0.83091474,2,20
15,0.08,0.92,0.982309911,0.908750303,2,20
16,0.06,0.94,0.996667806,0.941740234,2,20
17,0.04,0.96,0.997718655,0.978890839,2,20
18,0.2,0.8,0.917937366,0.68315261,3,20
19,0.18,0.82,0.951681767,0.704009149,3,20
20,0.16,0.84,0.962023065,0.733721635,3,20
21,0.14,0.86,0.991632544,0.750321144,3,20
22,0.12,0.88,0.994102236,0.790517059,3,20
23,0.1,0.9,0.97366949,0.859518528,3,20
24,0.08,0.92,0.988108218,0.89789891,3,20
25,0.06,0.94,0.991886433,0.943749463,3,20
26,0.04,0.96,0.99729341,0.978780983,3,20
27,0.2,0.8,0.969886846,0.725900026,1,30
28,0.18,0.82,0.985587493,0.747748717,1,30
29,0.16,0.84,0.996778256,0.767542932,1,30
30,0.14,0.86,0.995809986,0.818126847,1,30
31,0.12,0.88,0.99499571,0.880790975,1,30
32,0.1,0.9,0.996117936,0.927194818,1,30
33,0.08,0.92,0.994720336,0.971399545,1,30
34,0.06,0.94,0.989135739,0.985002762,1,30
35,0.04,0.96,0.995915807,0.995777355,1,30
36,0.2,0.8,0.915436212,0.719866817,2,30
37,0.18,0.82,0.976824511,0.759553991,2,30
38,0.16,0.84,0.982056292,0.799153446,2,30
39,0.14,0.86,0.99589869,0.820806401,2,30
40,0.12,0.88,0.997253747,0.867643484,2,30
41,0.1,0.9,0.998245271,0.918270469,2,30
42,0.08,0.92,0.995044217,0.972314544,2,30
43,0.06,0.94,0.997290095,0.988225916,2,30
44,0.04,0.96,0.991307134,0.99230176,2,30
45,0.2,0.8,0.98137986,0.71918386,3,30
46,0.18,0.82,0.985739905,0.748248381,3,30
47,0.16,0.84,0.994312827,0.776700238,3,30
48,0.14,0.86,0.996137726,0.819899164,3,30
49,0.12,0.88,0.998338315,0.858498949,3,30
50,0.1,0.9,0.992545885,0.938827012,3,30
51,0.08,0.92,0.988693565,0.968265519,3,30
52,0.06,0.94,0.991333122,0.987385877,3,30
53,0.04,0.96,0.992824839,0.993143003,3,30
54,0.2,0.8,0.963342214,0.758171285,1,40
55,0.18,0.82,0.985406065,0.797871047,1,40
56,0.16,0.84,0.989212806,0.848302845,1,40
57,0.14,0.86,0.998036066,0.882888748,1,40
