,accuracy,homogeneity,completeness,triplicate,n_parents
0,0.92,0.9669589372732521,0.7541470757179267,1,1000
1,0.92,0.9670409849166568,0.7554271397350674,2,1000
2,0.92,0.9666381277213904,0.7537082590415984,3,1000
3,0.92,0.9751760355201198,0.804855132014723,1,10000
4,0.92,0.9751808890031796,0.8052474832914414,2,10000
5,0.92,0.9752285816456945,0.8052892182680337,3,10000
6,0.92,0.9801900419290527,0.838515247824738,1,100000
7,0.92,0.9801519009819696,0.8384003121718884,2,100000
8,0.92,0.9801689409001945,0.8385461840053683,3,100000
9,0.92,0.9835299309975977,0.8618871388235556,1,1000000
10,0.92,0.9835323494834682,0.8618970931463236,2,1000000
11,0.92,0.9835233745150744,0.8618748023772146,3,1000000
